country,year,population,real_gdp,real_gdp_pc,vsl,le,hle,wtp_s,wtp_h,wtp,wtp_pc
Mexico,2015,120.52333926435215,1171.86760819772,9.7231591437023,1.7110547089149222,75.97481083278984,65.79654542315376,-0.17394612870419135,-0.5553805245393144,-0.7293266532435058,-6.051331283178467
Mexico,2016,121.67499361274803,1202.69396560417,9.88447938145741,1.7394433990900633,75.96708795179548,65.68272105815173,-0.9903336611689754,-0.5628507065807422,-1.5531843677497175,-12.765025266350117
Mexico,2017,122.79060001100102,1228.10844220222,10.001648677441038,1.760062528394646,75.67395816945194,65.35398611687191,0.34509461690670407,0.014131592316756899,0.35922620922346093,2.9255188034855863
Mexico,2018,123.87338637192813,1255.0653577286298,10.131840215946896,1.7829732759951944,75.79911770474965,65.45144185170665,-0.09462885257545407,0.28239450234703645,0.18776564977158233,1.5157868471264566
Mexico,2019,,,,,,,,,,
Netherlands,1990,14.923328699690341,464.89544698471997,31.15226209514279,5.482089099176214,77.29139814143304,67.48224302219441,0.14204506080555337,-0.028508197613158617,0.11353686319239473,7.608011957462991
Netherlands,1991,15.027941273652553,476.234871794948,31.68996092830743,5.576711855717262,77.44148002861704,67.58281994556945,0.09677100651107312,-0.021699976890076546,0.07507102962099658,4.995430062839905
Netherlands,1992,15.131571131547785,484.359776344962,32.00988001405361,5.6330103334082615,77.53767149252523,67.6460897457392,-0.10907696742300574,-0.024694914822185797,-0.13377188224519151,-8.840581132139727
Netherlands,1993,15.232037889910753,490.45085316407597,32.198636630817205,5.666227201833314,77.48317362415222,67.5995107942474,0.2751060995892693,-0.004527763132919319,0.27057833645634993,17.76376466576235
Netherlands,1994,15.328786490008007,504.973556932433,32.94282670461863,5.797187716958731,77.72783483107763,67.78201431386256,0.1380604912389256,0.021366793757529624,0.1594272849964552,10.400515729042029
Netherlands,1995,15.420799030902735,520.70871468451,33.766649422058364,5.942161764915084,77.83688393604895,67.87497061949144,0.08697798278339051,-0.011024825379483487,0.07595315740390703,4.9253710687558785
Netherlands,1996,15.50871966909223,538.926969810704,34.74993302540292,6.115197299440019,77.89797219556056,67.91656585557547,0.306198722018121,0.01500802479860497,0.32120674681672595,20.711364552991956
Netherlands,1997,15.598993486506302,562.257406145201,36.04446701202704,6.3430058173226325,78.14386833102364,68.10746015936348,0.17679214000077917,0.02169797486213929,0.19849011486291843,12.724546300671232
Netherlands,1998,15.694518298566475,588.480625794635,37.49593422363185,6.598431010981076,78.251845781248,68.1913836114594,0.035529149645739104,0.01446346403258289,0.049992613678322,3.1853550855962416
Netherlands,1999,15.793296961745042,618.105023861259,39.137174800071826,6.8872519975838475,78.27014117055246,68.20660769089079,0.23377010282697058,0.02940083454670854,0.2631709373736791,16.663457795490007
Netherlands,2000,15.893011942073482,644.038500923846,40.523376139854676,7.131191883261423,78.40516689499894,68.31661379705326,0.27044052721925227,0.018759539334751434,0.2892000665540037,18.196680881388254
Netherlands,2001,15.989444158119218,659.0249875832841,41.21625374004263,7.253122570909496,78.5662864029027,68.44485189216076,0.2948089310342007,0.04080937119097008,0.33561830222517064,20.989991828749616
Netherlands,2002,16.078936362075456,660.456874865422,41.07590576844417,7.2284245222463985,78.72805641792205,68.5823971422871,0.4267711125620365,0.03458513827477225,0.46135625083680876,28.69320709079896
Netherlands,2003,16.15960782907567,661.484848899321,40.93446177011326,7.203533597824103,78.99240099934434,68.79364128463854,0.6988851705643345,0.02313697397377641,0.7220221445381109,44.680672462792714
Netherlands,2004,16.229954055834988,674.6149640577729,41.566042746451004,7.314677474793732,79.42602593280944,69.12723702575474,0.5845954953543555,0.029775882638517836,0.6143713779928733,37.85416618428409
Netherlands,2005,16.291346338573778,688.450481177563,42.25866093997933,7.436562512773841,79.7581679300665,69.38615351521582,0.6187121325767593,0.029055118964781548,0.6477672515415409,39.7614315035334
Netherlands,2006,16.346681410875412,712.27767628567,43.57322800772231,7.66789639697782,80.09484457709554,69.64965926136227,0.6577254619049232,0.06325360855892195,0.7209790704638451,44.105531412888446
Netherlands,2007,16.401304758918737,739.150791322307,45.06658477401745,7.930693198850006,80.43984435598611,69.9252885459668,0.3992255177340219,0.05293028956128543,0.4521558072953073,27.568282764176615
Netherlands,2008,16.460522638437173,755.192764635222,45.87902712589222,8.073664561485538,80.64892096936714,70.09807858482645,0.4418339803562577,0.046639108446557574,0.4884730888028152,29.675430090061393
Netherlands,2009,16.525504512249963,727.500722452721,44.0229054376792,7.7470293899329805,80.87537879874861,70.2802316839288,0.3564628544922943,-0.00844877288846599,0.34801408160382824,21.05921070947357
Netherlands,2010,16.59384631975787,737.269160825437,44.43027533330772,7.818717219771376,81.06259383524745,70.4174031274197,0.3480823990803795,-0.11044870811237485,0.23763369096800466,14.3205912835929
Netherlands,2011,16.662252863754517,748.705601252125,44.934235926810835,7.907402814018754,81.24248382247595,70.51790828109536,0.19858753561817877,-0.19895104837510857,-0.0003635127569298103,-0.021816543051063723
Netherlands,2012,16.727788003033336,740.991283205157,44.29702738167111,7.795268613024178,81.33915467298333,70.53182737811625,0.3798356951517784,-0.2213048098886651,0.15853088526311332,9.477097942320055
Netherlands,2013,16.792033308893327,740.026695664856,44.070106463695865,7.755335696210374,81.53764865258927,70.61277962824462,0.41521878940946916,-0.19816263952346086,0.21705614988600835,12.926138597584368
Netherlands,2014,16.858118705358848,750.560201573466,44.52218036256195,7.8348904131496075,81.73107330977217,70.69032385417405,-0.016503639684374197,-0.13339371254569574,-0.14989735223006995,-8.891701075898858
Netherlands,2015,16.92315842847991,765.264949780999,45.21998378819984,7.957687933964435,81.76946226536121,70.69096221142087,0.0247721274575545,-0.015580729601806946,0.009191397855747553,0.5431254392962126
