age,population,S,S_new,Sgrad,H,H_new,Hgrad,discount,dH,W,dW,Wgrad,C,Cdot,L,SL,Y,Sav,A,Z,zc,uc,ul,v,q,V,WTP_S,WTP_H,WTP_W,WTP,year,location_name
91,10267.999985314906,0.0964995077131242,0.0976725665556465,0.0011730588425223065,0.6810450584475859,0.6811460222535236,0.00010096380593771492,0.1649621733229124,0.0,4.581822237198928,0.0,0.004587633976988137,5365.030218416867,0.0,3518.3784544649047,0.7502966401760487,2206.7043072468155,-3158.3259111700513,151.78960248819334,3887.8669051638326,0.1809520895959143,7.464427752584427e-07,3.420068106475614e-06,66413.79053765326,12.055238206147294,255971.43015959748,1657.5404435103635,27.171006923247532,7.09335982060703,1684.711450433611,1991,Argentina
92,10267.99998531118,0.0769681642076459,0.07812038186604,0.0011522176583941002,0.6810450584475859,0.6811460222535236,0.00010096380593771492,0.16172762090481607,0.0,4.581822237198928,0.0,0.004587633976988137,5365.030218416867,0.0,3518.3784544649047,0.7502966401760487,2206.7043072468155,-3158.3259111700513,112.47514660047258,3887.8669051638326,0.1809520895959143,7.464427752584427e-07,3.420068106475614e-06,66413.79053765326,12.055238206147294,242412.73618763994,1441.7675203380709,19.330557510632797,6.245641212805768,1461.0980778487037,1991,Argentina
93,10267.999985314906,0.0613899328803462,0.0624821715872389,0.0010922387068926995,0.6810450584475859,0.6811460222535236,0.00010096380593771492,0.158556491083153,0.0,4.581822237198928,0.0,0.004587633976988137,5365.030218416867,0.0,3518.3784544649047,0.7502966401760487,2206.7043072468155,-3158.3259111700513,81.73272118876118,3887.8669051638326,0.1809520895959143,7.464427752584427e-07,3.420068106475614e-06,66413.79053765326,12.055238206147294,225073.41865114635,1214.6670171963858,9.303924984276502,5.161549916648419,1223.9709421806624,1991,Argentina
94,10267.999985314906,0.0489647102519697,0.049974432702489,0.0010097224505193,0.6810450584475859,0.6811460222535236,0.00010096380593771492,0.155447540277601,0.0,4.581822237198928,0.0,0.004587633976988137,5365.030218416867,0.0,3518.3784544649047,0.7502966401760487,2206.7043072468155,-3158.3259111700513,57.69330111148054,3887.8669051638326,0.1809520895959143,7.464427752584427e-07,3.420068106475614e-06,66413.79053765326,12.055238206147294,202899.3115245186,986.5247433542785,-3.518472626864891,3.7751772127952106,983.0062707274136,1991,Argentina
95,2363.0513980537653,0.0390543324869299,0.0399705045534249,0.0009161720664949968,0.6487919965081852,0.6487099382059349,-8.205830225027633e-05,0.15239954929176566,-0.047358190973325935,4.208866024408436,-0.08139910137991231,0.0021891818728674295,4919.644998491314,-0.08301634879830705,3667.2938030217956,0.7583053323612181,1400.315808571705,-3519.3291899196092,36.746737086431885,3926.849719989177,0.19292014733406235,7.839911552384358e-07,3.2997137367197724e-06,63436.560415467924,-7.29501286139783,174542.31155446064,774.1956066749607,-19.916189414233056,2.0022367964280092,754.2794172607277,1991,Argentina
96,2363.0513980574906,0.0266639901458469,0.0273738733317125,0.0007098831858656021,0.6487919965081852,0.6487099382059349,-8.205830225027633e-05,0.14941132283506436,0.0,4.208866024408436,0.0,0.0021891818728674295,4919.644998491314,0.0,3667.2938030217956,0.7583053323612181,1400.315808571705,-3519.3291899196092,22.72607434815203,3926.849719989177,0.19292014733406235,7.839911552384358e-07,3.2997137367197724e-06,63436.560415467924,-7.29501286139783,165989.56648675213,641.4332251903946,-18.855762218258768,1.9031525249711154,622.5774629721359,1991,Argentina
97,2363.0513980537653,0.0182045966535405,0.0187470473428496,0.0005424506893090993,0.6487919965081852,0.6487099382059349,-8.205830225027633e-05,0.14648168905398468,0.0,4.208866024408436,0.0,0.0021891818728674295,4919.644998491314,0.0,3667.2938030217956,0.7583053323612181,1400.315808571705,-3519.3291899196092,13.34129012361222,3926.849719989177,0.19292014733406235,7.839911552384358e-07,3.2997137367197724e-06,63436.560415467924,-7.29501286139783,153211.95208329358,483.0851853111803,-17.27150713923646,1.7551227866706123,465.8136781719438,1991,Argentina
98,2363.0513980574906,0.0124290227196065,0.0128389497465779,0.0004099270269714,0.6487919965081852,0.6487099382059349,-8.205830225027633e-05,0.14360949907253398,0.0,4.208866024408436,0.0,0.0021891818728674295,4919.644998491314,0.0,3667.2938030217956,0.7583053323612181,1400.315808571705,-3519.3291899196092,7.05954891171456,3926.849719989177,0.19292014733406235,7.839911552384358e-07,3.2997137367197724e-06,63436.560415467924,-7.29501286139783,134122.47513163218,306.08573195900215,-14.904664639406192,1.53396958950706,291.18106731959597,1991,Argentina
99,2363.0513980537653,0.0084858021687864,0.0087927782749225,0.0003069761061361004,0.6487919965081852,0.6487099382059349,-8.205830225027633e-05,0.14079362654169997,0.0,4.208866024408436,0.0,0.0021891818728674295,4919.644998491314,0.0,3667.2938030217956,0.7583053323612181,1400.315808571705,-3519.3291899196092,2.8548414076175543,3926.849719989177,0.19292014733406235,7.839911552384358e-07,3.2997137367197724e-06,63436.560415467924,-7.29501286139783,105603.21333661267,130.3729790202775,-11.368653618718538,1.2035715412690748,119.00432540155897,1991,Argentina
100,0.0,0.0057936042175052,0.0060217503236631,0.00022814610615789956,0.6439596965669201,0.6438902274256674,-6.946914125272041e-05,0.13803296719774508,-0.007448149741785757,4.1541598826066775,-0.012997833973450678,0.002296037249940319,4854.3723993308495,-0.013267745778502631,3690.7872158297187,0.7595237320939615,1284.5193431893,-3569.8530561415496,-1.7772450178199506e-12,3933.2407106341425,0.1948451764845594,7.898850072134897e-07,3.281308608838764e-06,62996.058861274854,-6.08593035372694,62996.058861274854,0.0,-6.085930353726939,0.7099640706127222,-6.085930353726939,1991,Argentina
101,0.0,0.0,0.0,0.0,0.639127396625655,0.6390705166453998,-5.68799802551645e-05,0.13532643842916184,-0.007504040962543274,4.099760765669483,-0.013095094670034594,0.0024015297364394783,4789.418125081152,-0.013380570938202371,3714.5587537014585,0.7607470575462398,1170.24082247856,-3619.1773026025917,-1.7772450178199506e-12,3939.7318925721934,0.19680729958419477,7.958682878822106e-07,3.262869581300032e-06,62555.482249610264,-4.881711482338366,0.0,0.0,0.0,0.0,0.0,1991,Argentina
