"location_name","year","age_name","population"
"Denmark",1990,"1 to 4",227286.86448621
"Denmark",1990,"5 to 9",270038.468449465
"Denmark",1990,"10 to 14",323700.342684639
"Denmark",1990,"15 to 19",366904.827357168
"Denmark",1990,"20 to 24",402698.50495203
"Denmark",1990,"25 to 29",396309.155207498
"Denmark",1990,"30 to 34",371272.961627894
"Denmark",1990,"35 to 39",370694.442205355
"Denmark",1990,"40 to 44",412358.165977609
"Denmark",1990,"45 to 49",352186.827480854
"Denmark",1990,"50 to 54",283271.735604407
"Denmark",1990,"55 to 59",253852.180683797
"Denmark",1990,"60 to 64",247076.104722118
"Denmark",1990,"65 to 69",244683.708938652
"Denmark",1990,"70 to 74",199747.111720756
"Denmark",1990,"75 to 79",167562.894237538
"Denmark",1990,"0 to 0",62194.9779168648
"Denmark",1990,"80 to 84",110372.800009047
"Denmark",1990,"85 to 89",56160.4023787727
"Denmark",1990,"90 to 94",20938.6419372675
"Denmark",1990,"95 to 99",4920.00184325214
"France",1990,"1 to 4",3127781.77457999
"France",1990,"5 to 9",3983666.07927758
"France",1990,"10 to 14",3838615.39137189
"France",1990,"15 to 19",4426457.71933647
"France",1990,"20 to 24",4372395.94566966
"France",1990,"25 to 29",4414557.07720347
"France",1990,"30 to 34",4381388.11545625
"France",1990,"35 to 39",4399210.82570617
"France",1990,"40 to 44",4240743.43676705
"France",1990,"45 to 49",2937648.75933787
"France",1990,"50 to 54",2958326.26543312
"France",1990,"55 to 59",3072169.28680754
"France",1990,"60 to 64",2911596.9065394
"France",1990,"65 to 69",2726793.51364325
"France",1990,"70 to 74",1362003.84258793
"France",1990,"75 to 79",1764189.8518716
"France",1990,"0 to 0",759878.966031208
"France",1990,"80 to 84",1220043.30133628
"France",1990,"85 to 89",633922.284980592
"France",1990,"90 to 94",197363.313541564
"France",1990,"95 to 99",41179.7418175267
"Germany",1990,"1 to 4",3596428.85710739
"Germany",1990,"5 to 9",4299764.00028412
"Germany",1990,"10 to 14",4161359.78199858
"Germany",1990,"15 to 19",4384473.92386723
"Germany",1990,"20 to 24",6347223.06113235
"Germany",1990,"25 to 29",7033699.74796093
"Germany",1990,"30 to 34",6272539.56512485
"Germany",1990,"35 to 39",5666563.07938702
"Germany",1990,"40 to 44",5067456.33679842
"Germany",1990,"45 to 49",5110845.99400189
"Germany",1990,"50 to 54",6126683.6095039
"Germany",1990,"55 to 59",4694667.96441819
"Germany",1990,"60 to 64",4359307.76220254
"Germany",1990,"65 to 69",3844975.6151508
"Germany",1990,"70 to 74",2420180.14691162
"Germany",1990,"75 to 79",2651010.82437461
"Germany",1990,"0 to 0",896011.752008261
"Germany",1990,"80 to 84",1878602.44688144
"Germany",1990,"85 to 89",818974.461084392
"Germany",1990,"90 to 94",248099.410203055
"Germany",1990,"95 to 99",62437.7225605829
"Israel",1990,"1 to 4",413586.239880501
"Israel",1990,"5 to 9",519657.732338702
"Israel",1990,"10 to 14",497388.068075523
"Israel",1990,"15 to 19",472980.337286431
"Israel",1990,"20 to 24",390012.155679283
"Israel",1990,"25 to 29",353812.990187653
"Israel",1990,"30 to 34",346356.669772151
"Israel",1990,"35 to 39",348449.423052187
"Israel",1990,"40 to 44",315058.887400811
"Israel",1990,"45 to 49",201278.833032227
"Israel",1990,"50 to 54",190237.194902976
"Israel",1990,"55 to 59",174076.249653085
"Israel",1990,"60 to 64",170968.560857576
"Israel",1990,"65 to 69",161474.101446811
"Israel",1990,"70 to 74",113216.447103389
"Israel",1990,"75 to 79",98176.6454853197
"Israel",1990,"0 to 0",101899.466456992
"Israel",1990,"80 to 84",63129.2683983604
"Israel",1990,"85 to 89",23091.2408584771
"Israel",1990,"90 to 94",6085.68524162138
"Israel",1990,"95 to 99",919.204156601205
"Italy",1990,"1 to 4",2189270.01848398
"Italy",1990,"5 to 9",2944397.27188077
"Italy",1990,"10 to 14",3541266.86610545
"Italy",1990,"15 to 19",4391436.57239053
"Italy",1990,"20 to 24",4585906.64311356
"Italy",1990,"25 to 29",4556196.27352552
"Italy",1990,"30 to 34",4029048.61467898
"Italy",1990,"35 to 39",3787965.12480045
"Italy",1990,"40 to 44",3888801.80218652
"Italy",1990,"45 to 49",3483561.79463852
"Italy",1990,"50 to 54",3629140.9111516
"Italy",1990,"55 to 59",3401827.36759363
"Italy",1990,"60 to 64",3274685.84961815
"Italy",1990,"65 to 69",3001941.82777526
"Italy",1990,"70 to 74",1795803.43582624
"Italy",1990,"75 to 79",1878516.266167
"Italy",1990,"0 to 0",553797.07193554
"Italy",1990,"80 to 84",1169989.27112328
"Italy",1990,"85 to 89",517742.728844388
"Italy",1990,"90 to 94",147421.966423369
"Italy",1990,"95 to 99",29523.7044190674
"Netherlands",1990,"1 to 4",741876.321710474
"Netherlands",1990,"5 to 9",886905.526043977
"Netherlands",1990,"10 to 14",901725.868460996
"Netherlands",1990,"15 to 19",1107837.98725065
"Netherlands",1990,"20 to 24",1266378.35300012
"Netherlands",1990,"25 to 29",1294698.51865729
"Netherlands",1990,"30 to 34",1213181.99987977
"Netherlands",1990,"35 to 39",1147512.68086889
"Netherlands",1990,"40 to 44",1176552.68987114
"Netherlands",1990,"45 to 49",899666.451505305
"Netherlands",1990,"50 to 54",779601.172382621
"Netherlands",1990,"55 to 59",728885.095522172
"Netherlands",1990,"60 to 64",670053.373151502
"Netherlands",1990,"65 to 69",629215.288996005
"Netherlands",1990,"70 to 74",467979.108845269
"Netherlands",1990,"75 to 79",381206.607814679
"Netherlands",1990,"0 to 0",194204.627472179
"Netherlands",1990,"80 to 84",250328.325761137
"Netherlands",1990,"85 to 89",128388.124978734
"Netherlands",1990,"90 to 94",46344.9249962248
"Netherlands",1990,"95 to 99",10785.6525212024
"Spain",1990,"1 to 4",1685215.19330141
"Spain",1990,"5 to 9",2547380.46693495
"Spain",1990,"10 to 14",3206129.32817037
"Spain",1990,"15 to 19",3311100.23374052
"Spain",1990,"20 to 24",3223266.83351578
"Spain",1990,"25 to 29",3056288.21555075
"Spain",1990,"30 to 34",2776349.94474339
"Spain",1990,"35 to 39",2463573.36903341
"Spain",1990,"40 to 44",2422594.33631093
"Spain",1990,"45 to 49",2169102.4696886
"Spain",1990,"50 to 54",1964254.18627937
"Spain",1990,"55 to 59",2258113.39958156
"Spain",1990,"60 to 64",2064187.0226416
"Spain",1990,"65 to 69",1791672.46212459
"Spain",1990,"70 to 74",1294178.38988486
"Spain",1990,"75 to 79",1048617.23810494
"Spain",1990,"0 to 0",396055.358945163
"Spain",1990,"80 to 84",675264.179473338
"Spain",1990,"85 to 89",309169.824754436
"Spain",1990,"90 to 94",96312.8183090424
"Spain",1990,"95 to 99",22545.2257542764
"Sweden",1990,"1 to 4",441451.068535872
"Sweden",1990,"5 to 9",487314.106826943
"Sweden",1990,"10 to 14",494086.084696387
"Sweden",1990,"15 to 19",562593.153542551
"Sweden",1990,"20 to 24",598812.421140766
"Sweden",1990,"25 to 29",613183.663053317
"Sweden",1990,"30 to 34",575858.906634707
"Sweden",1990,"35 to 39",584673.292097026
"Sweden",1990,"40 to 44",654257.874355199
"Sweden",1990,"45 to 49",612452.291284124
"Sweden",1990,"50 to 54",467055.193905872
"Sweden",1990,"55 to 59",415362.460182688
"Sweden",1990,"60 to 64",424014.254041438
"Sweden",1990,"65 to 69",443179.189574055
"Sweden",1990,"70 to 74",394193.659933087
"Sweden",1990,"75 to 79",319468.393648942
"Sweden",1990,"0 to 0",121998.644033989
"Sweden",1990,"80 to 84",220160.034466764
"Sweden",1990,"85 to 89",110082.444158941
"Sweden",1990,"90 to 94",39314.6407407188
"Sweden",1990,"95 to 99",9371.21319583512
"United Kingdom",1990,"1 to 4",3051663.02930144
"United Kingdom",1990,"5 to 9",3643732.84554888
"United Kingdom",1990,"10 to 14",3474018.94975971
"United Kingdom",1990,"15 to 19",3938105.21199455
"United Kingdom",1990,"20 to 24",4423626.97138112
"United Kingdom",1990,"25 to 29",4568816.73623111
"United Kingdom",1990,"30 to 34",4106075.57820376
"United Kingdom",1990,"35 to 39",3818623.37057946
"United Kingdom",1990,"40 to 44",4188767.74332012
"United Kingdom",1990,"45 to 49",3434475.67964596
"United Kingdom",1990,"50 to 54",3121104.48845286
"United Kingdom",1990,"55 to 59",2958085.63776848
"United Kingdom",1990,"60 to 64",2957223.70320178
"United Kingdom",1990,"65 to 69",2789925.36782691
"United Kingdom",1990,"70 to 74",2299637.66888376
"United Kingdom",1990,"75 to 79",1868907.72302098
"United Kingdom",1990,"0 to 0",785073.942067374
"United Kingdom",1990,"80 to 84",1235011.55494387
"United Kingdom",1990,"85 to 89",582586.274162572
"United Kingdom",1990,"90 to 94",184369.355759566
"United Kingdom",1990,"95 to 99",43385.0968248767
"Argentina",1990,"1 to 4",2763152.55007313
"Argentina",1990,"5 to 9",3398669.82386212
"Argentina",1990,"10 to 14",3299382.3376122
"Argentina",1990,"15 to 19",2883803.00847417
"Argentina",1990,"20 to 24",2533562.955662
"Argentina",1990,"25 to 29",2386032.59329663
"Argentina",1990,"30 to 34",2274889.8527804
"Argentina",1990,"35 to 39",2143932.35012519
"Argentina",1990,"40 to 44",1963687.68882065
"Argentina",1990,"45 to 49",1715656.97156182
"Argentina",1990,"50 to 54",1517678.56912195
"Argentina",1990,"55 to 59",1400545.7366991
"Argentina",1990,"60 to 64",1274205.82786643
"Argentina",1990,"65 to 69",1042010.54758284
"Argentina",1990,"70 to 74",774687.081632675
"Argentina",1990,"75 to 79",541752.187076941
"Argentina",1990,"0 to 0",672157.417843724
"Argentina",1990,"80 to 84",325420.315453367
"Argentina",1990,"85 to 89",150656.187953632
"Argentina",1990,"90 to 94",47758.3303207936
"Argentina",1990,"95 to 99",11085.5185734603
"Chile",1990,"1 to 4",1157330.47368186
"Chile",1990,"5 to 9",1321787.70953703
"Chile",1990,"10 to 14",1204351.11958822
"Chile",1990,"15 to 19",1301222.1048133
"Chile",1990,"20 to 24",1250653.26378993
"Chile",1990,"25 to 29",1214864.80876752
"Chile",1990,"30 to 34",1073375.04085547
"Chile",1990,"35 to 39",886747.727021147
"Chile",1990,"40 to 44",744664.778028939
"Chile",1990,"45 to 49",634262.932881355
"Chile",1990,"50 to 54",522286.700312564
"Chile",1990,"55 to 59",455559.593617187
"Chile",1990,"60 to 64",387231.788913555
"Chile",1990,"65 to 69",298204.807049839
"Chile",1990,"70 to 74",222412.402613363
"Chile",1990,"75 to 79",158780.280344169
"Chile",1990,"0 to 0",294044.243542693
"Chile",1990,"80 to 84",97361.8443400445
"Chile",1990,"85 to 89",42099.9778561292
"Chile",1990,"90 to 94",10761.7969503913
"Chile",1990,"95 to 99",2175.94782753438
"Uruguay",1990,"1 to 4",217912.264956145
"Uruguay",1990,"5 to 9",271146.84604848
"Uruguay",1990,"10 to 14",274896.770734508
"Uruguay",1990,"15 to 19",258146.617548577
"Uruguay",1990,"20 to 24",233365.343810418
"Uruguay",1990,"25 to 29",227543.778275764
"Uruguay",1990,"30 to 34",217993.716017884
"Uruguay",1990,"35 to 39",198745.539331112
"Uruguay",1990,"40 to 44",182163.253485875
"Uruguay",1990,"45 to 49",167833.237068449
"Uruguay",1990,"50 to 54",160294.378799184
"Uruguay",1990,"55 to 59",157043.477849684
"Uruguay",1990,"60 to 64",148686.818388868
"Uruguay",1990,"65 to 69",123610.041138152
"Uruguay",1990,"70 to 74",95144.7630522862
"Uruguay",1990,"75 to 79",72677.0704359443
"Uruguay",1990,"0 to 0",54438.4750171612
"Uruguay",1990,"80 to 84",46770.7488027035
"Uruguay",1990,"85 to 89",21575.72893701
"Uruguay",1990,"90 to 94",7367.37268076488
"Uruguay",1990,"95 to 99",2061.37502482108
"Canada",1990,"1 to 4",1527378.50959477
"Canada",1990,"5 to 9",1934624.49487108
"Canada",1990,"10 to 14",1892535.08798876
"Canada",1990,"15 to 19",1913212.33867764
"Canada",1990,"20 to 24",2023361.32171499
"Canada",1990,"25 to 29",2457570.26456295
"Canada",1990,"30 to 34",2468712.32517522
"Canada",1990,"35 to 39",2255365.034797
"Canada",1990,"40 to 44",2039637.96161128
"Canada",1990,"45 to 49",1588978.26712787
"Canada",1990,"50 to 54",1297456.9826777
"Canada",1990,"55 to 59",1225685.14271971
"Canada",1990,"60 to 64",1164775.4206448
"Canada",1990,"65 to 69",1057573.91295462
"Canada",1990,"70 to 74",787922.260641156
"Canada",1990,"75 to 79",597548.952508122
"Canada",1990,"0 to 0",398767.5406566
"Canada",1990,"80 to 84",359916.341931068
"Canada",1990,"85 to 89",178902.462441928
"Canada",1990,"90 to 94",66590.7430084149
"Canada",1990,"95 to 99",20348.6544120165
"United States of America",1990,"1 to 4",15453990.9830325
"United States of America",1990,"5 to 9",18566864.7173805
"United States of America",1990,"10 to 14",17511104.448325
"United States of America",1990,"15 to 19",18122653.2034223
"United States of America",1990,"20 to 24",19475616.5182624
"United States of America",1990,"25 to 29",21758964.9520683
"United States of America",1990,"30 to 34",22253424.5210404
"United States of America",1990,"35 to 39",20315863.8501677
"United States of America",1990,"40 to 44",17902428.4384886
"United States of America",1990,"45 to 49",14026118.7149748
"United States of America",1990,"50 to 54",11451493.1247195
"United States of America",1990,"55 to 59",10559714.159991
"United States of America",1990,"60 to 64",10662082.758307
"United States of America",1990,"65 to 69",10092917.172085
"United States of America",1990,"70 to 74",8051384.0782113
"United States of America",1990,"75 to 79",6113149.44409099
"United States of America",1990,"0 to 0",4111149.16866912
"United States of America",1990,"80 to 84",3934483.52604647
"United States of America",1990,"85 to 89",2113913.13419377
"United States of America",1990,"90 to 94",854806.815558811
"United States of America",1990,"95 to 99",273453.619747167
"Peru",1990,"1 to 4",2370648.25673405
"Peru",1990,"5 to 9",2787294.63137033
"Peru",1990,"10 to 14",2608027.2492903
"Peru",1990,"15 to 19",2342428.19960851
"Peru",1990,"20 to 24",2086024.92396573
"Peru",1990,"25 to 29",1757090.20396598
"Peru",1990,"30 to 34",1461783.58893076
"Peru",1990,"35 to 39",1220599.6446778
"Peru",1990,"40 to 44",1005871.25415498
"Peru",1990,"45 to 49",812479.996877062
"Peru",1990,"50 to 54",670548.76340979
"Peru",1990,"55 to 59",585124.212786765
"Peru",1990,"60 to 64",451331.798407349
"Peru",1990,"65 to 69",334840.034803697
"Peru",1990,"70 to 74",238689.261142746
"Peru",1990,"75 to 79",165747.681286299
"Peru",1990,"0 to 0",638082.268160874
"Peru",1990,"80 to 84",104856.803136829
"Peru",1990,"85 to 89",59000.3079647315
"Peru",1990,"90 to 94",22438.9895178578
"Peru",1990,"95 to 99",7029.38478606373
"Mexico",1990,"1 to 4",9318526.79252203
"Mexico",1990,"5 to 9",11014829.3316542
"Mexico",1990,"10 to 14",10767873.4152052
"Mexico",1990,"15 to 19",9927302.04542233
"Mexico",1990,"20 to 24",8407506.87336136
"Mexico",1990,"25 to 29",6846600.43336298
"Mexico",1990,"30 to 34",5721634.04297252
"Mexico",1990,"35 to 39",4740733.46867212
"Mexico",1990,"40 to 44",3804360.37321779
