"Code","Country","Year","GDP"
"CHL","Chile",1997,203334.178894724
"CHL","Chile",1998,212401.992966845
"CHL","Chile",2028,531616.7
"CHL","Chile",1996,189406.829864649
"CHL","Chile",2026,512686.9
"CHL","Chile",2027,522432.1
"CHL","Chile",1994,159394.503319928
"CHL","Chile",1995,176334.277224583
"CHL","Chile",2033,574532.2
"CHL","Chile",2034,582684.8
"CHL","Chile",2035,590607.1
"CHL","Chile",2036,598265.9
"CHL","Chile",2024,489101.9
"CHL","Chile",2025,501847.7
"CHL","Chile",2037,605654.6
"CHL","Chile",2038,612781.6
"CHL","Chile",1991,125528.463863626
"CHL","Chile",1992,140940.878170915
"CHL","Chile",1993,150787.38008815
"CHL","Chile",2031,557732.7
"CHL","Chile",2032,566198.8
"CHL","Chile",2019,439831.540862064
"CHL","Chile",2020,413320.990954928
"CHL","Chile",2021,441170.257900904
"CHL","Chile",2022,456803.703748668
"CHL","Chile",2047,667818.1
"CHL","Chile",2048,673169.5
"CHL","Chile",2049,678402.7
"CHL","Chile",2050,683525.9
"CHL","Chile",2051,688552.7
"CHL","Chile",2029,540480.4
"CHL","Chile",2030,549161.3
"CHL","Chile",2014,398738.582493208
"CHL","Chile",2015,407747.451332085
"CHL","Chile",2016,414352.352285565
"CHL","Chile",2017,420191.098395208
"CHL","Chile",2018,436012.011552488
"CHL","Chile",2060,731720.6
"CHL","Chile",2004,264557.118072735
"CHL","Chile",2005,279885.142776072
"CHL","Chile",2006,297576.244185071
"CHL","Chile",2007,312201.511439874
"CHL","Chile",2008,323221.47483483
"CHL","Chile",2039,619663.5
"CHL","Chile",2040,626320.1
"CHL","Chile",2041,632772
"CHL","Chile",2042,639025.2
"CHL","Chile",2043,645094.3
"CHL","Chile",2044,650993.3
"CHL","Chile",2045,656737.7
"CHL","Chile",2046,662343.4
"CHL","Chile",2055,707932.4
"CHL","Chile",2052,693495.5
"CHL","Chile",2053,698364.3
"CHL","Chile",2054,703170.7
"CHL","Chile",2059,726903.1
"CHL","Chile",2056,712673.6
"CHL","Chile",2057,717403.2
"CHL","Chile",2058,722139.4
"CHL","Chile",2011,357209.065558595
"CHL","Chile",1999,211304.806070618
"CHL","Chile",2009,318256.33695142
"CHL","Chile",2010,336927.548668399
"CHL","Chile",2002,237102.191997915
"CHL","Chile",2003,246833.226301916
"CHL","Chile",2000,222598.70139935
"CHL","Chile",2001,229967.616919393
"CHL","Chile",2012,376575.890463904
"CHL","Chile",2013,391978.59089001
"CHN","China",1994,2656661.39248379
"CHN","China",1995,2947670.86838487
"CHN","China",2001,4830158.65772747
"CHN","China",2008,10045403.7865323
"CHN","China",1999,4109600.30768502
"CHN","China",2000,4458509.21258512
"CHN","China",1997,3539441.18546128
"CHN","China",1998,3817144.03450798
"CHN","China",2009,10989543.7268541
"CHN","China",1996,3240155.18310358
"CHN","China",2036,43607620
"CHN","China",2037,44588650
"CHN","China",2034,41529450
"CHN","China",2035,42587530
"CHN","China",2041,48142100
"CHN","China",2002,5271327.51609551
"CHN","China",2038,45531140
"CHN","China",2040,47305810
"CHN","China",2005,7114886.25163108
"CHN","China",2006,8019967.777672
"CHN","China",2007,9161278.23874331
"CHN","China",2047,52645640
"CHN","China",2048,53350570
"CHN","China",2049,54055810
