LE,HLE,param1,param2,dHLE,WTP,WTP_1y
80.0,56.0,0.2983476450936408,4.156813817348741,-1.6814322194,-505597.41756696225,300694.4982577882
81.0,56.0,0.27080258087132836,4.394841945165251,-1.5951331887,-482650.44037537585,302576.89062862884
82.0,56.0,0.24580415172305334,4.6385134811631605,-1.5140889311,-460817.0137294787,304352.67325723777
83.0,56.0,0.22311633192690863,4.887924239034655,-1.4378942486,-440034.5364231232,306027.050912514
84.0,56.0,0.2025250661431627,5.143174842903473,-1.3661839983,-420245.0374244684,307605.0063149597
85.0,56.0,0.18383620879514592,5.404370695462331,-1.2986281594,-401394.67502101784,309091.3069422987
86.0,56.0,0.1668736592378937,5.671621966551119,-1.23492763,-383433.3118203966,310490.51175605855
87.0,56.0,0.15147767370567888,5.945043600184223,-1.1748106261,-366314.1514264293,311806.97832337156
88.0,56.0,0.1375033363199581,6.224755351220322,-1.1180295812,-350209.47535067605,313238.1121569165
89.0,56.0,0.12481917670999906,6.510881773864353,-1.0643584795,-334667.94086746563,314431.6011130774
90.0,56.0,0.1133059143139774,6.803552366316836,-1.0135905162,-319841.5635785039,315553.034945123
91.0,56.0,0.1028553237992341,7.102901555050019,-0.965536091,-305694.616713322,316606.10055157635
92.0,56.0,0.09336920575823,7.409068815072493,-0.920021034,-292193.45020330825,317594.31513530837
93.0,56.0,0.08475845418448752,7.722198755182224,-0.8768850568,-279306.33455291495,318521.0335003111
94.0,56.0,0.07694221128939345,8.042441223146907,-0.8359803898,-267003.3208784604,319389.4547482607
95.0,56.0,0.06984710138477955,8.369951422516685,-0.797170579,-255256.11523860513,320202.62910205213
96.0,56.0,0.06340653635191938,8.704890040983255,-0.7603294215,-244037.96530780528,320963.4645287829
97.0,56.0,0.057560085938038526,9.047423390213407,-0.725340021,-233323.55209501012,321674.72542509844
98.0,56.0,0.05225290677190388,9.397723557105119,-0.6920939474,-223088.91496298142,322339.06365033676
99.0,56.0,0.04743522457343745,9.755968566583038,-0.6604904867,-213311.342777792,322958.99346492736
100.0,56.0,0.04306186456136177,10.12234255604399,-0.6304359714,-203969.30965726252,323536.91557972314
101.0,56.0,0.03909182553806007,10.497035961651763,-0.6018431791,-195042.40010732767,324075.11936746596
102.0,56.0,0.035487893560602946,10.880245716733045,-0.5746307936,-186511.2428340461,324575.78833458136
103.0,56.0,0.032216291494700934,11.272175462588068,-0.5487229188,-178357.4494767239,325041.0058810248
104.0,56.0,0.029246361098727025,11.673035772162208,-0.5240486412,-170563.55777872988,325472.7602921793
105.0,56.0,0.02655027460107962,12.083044386911741,-0.500541634,-163112.97868574614,325872.9496330892
106.0,56.0,0.024102773021812518,12.502426467391027,-0.478139799,-155989.94705419723,326243.38609846035
107.0,56.0,0.0218809287451755,12.931414858159544,-0.4567849414,-149179.4756003293,326585.8001866462
108.0,56.0,0.019863930087512163,13.37025036753491,-0.4364224753,-142667.31184258155,326901.84377995424
109.0,56.0,0.018032885813671923,13.819182062911372,-0.4170011543,-136439.8977956302,327193.0938048969
110.0,56.0,0.016370647748219454,14.278467582329524,-0.3984728273,-130484.3322281183,327461.0545272639
60.0,57.0,2.0831439059513843,0.33299863525692247,-7.1326586256,-1.5924231853114134e6,223258.0120399998
61.0,57.0,1.8893851202342338,0.45480359637644674,-6.5249341963,-1.4869987633437978e6,227894.82906770287
62.0,57.0,1.7137743180993246,0.5815101001018449,-6.0011677166,-1.3993929541727607e6,233186.77635051927
63.0,57.0,1.5545912778144555,0.7129333097172551,-5.5437002384,-1.3205206096428924e6,238202.0226302885
64.0,57.0,1.4102821272364523,0.848932488506591,-5.1398987613,-1.2487889598121175e6,242959.83594359158
65.0,57.0,1.2794427318664847,0.989399609940317,-4.7803884733,-1.1830296352895913e6,247475.62711632965
66.0,57.0,1.1608038245377157,1.1342518085743387,-4.4580098356,-1.122359248863537e6,251762.3985260857
67.0,57.0,1.053217681371558,1.2834261389166362,-4.1671669094,-1.066092897002662e6,255831.5805872439
68.0,57.0,0.9556461724864396,1.4368758018364387,-3.9034012879,-1.0136880638813048e6,259693.5311323477
69.0,57.0,0.8671500365561109,1.5945673468794457,-3.6631031106,-964706.9230221481,263357.84003200865
70.0,57.0,0.7868792462633851,1.7564785476362055,-3.4433089902,-918790.2503629727,266833.51769415446
71.0,57.0,0.7140643472784373,1.9225967555764598,-3.2415570329,-875638.9246667944,270129.1125775504
72.0,57.0,0.6480086669930275,2.0929176028087304,-3.0557805019,-835000.532249863,273252.7849204754
73.0,57.0,0.5880813011223821,2.2674439649730416,-2.8842283206,-796659.4913684191,276212.3531200511
74.0,57.0,0.5337107966875316,2.4461851217338406,-2.7254046357,-760429.6556004928,279015.3233173694
75.0,57.0,0.484379459003856,2.629156069950172,-2.5780221861,-726148.6954754351,281668.90858838725
