LE,HLE,param1,param2,dLE,WTP,WTP_1y
82.44,82.43,0.11073355581326774,3.197783641596963e12,214.5620087182,2.7887287813516125e7,129973.09253448751
82.45,82.44,0.110780185857163,3.197783641596963e12,214.3460642178,2.785212457145415e7,129939.98594326052
82.46,82.45,0.11082686289441322,3.197783641596963e12,214.1301941157,2.7816984910330176e7,129906.87756673845
82.47,82.46,0.11087358700358672,3.197783641596963e12,213.9143984516,2.778186883142574e7,129873.76741594901
82.48,82.47,0.11092035826343166,3.197783641596963e12,213.6986772648,2.774677633602128e7,129840.65550223071
82.49,82.48,0.11096717675287666,3.197783641596963e12,213.4830305929,2.7711707425375145e7,129807.5418379262
82.5,82.49,0.11101404255103257,3.197783641596963e12,213.2674584768,2.7676662100738354e7,129774.42643341259
82.51,82.5,0.11106095573719135,3.197783641596963e12,213.0519609534,2.7641640363334626e7,129741.30930144581
82.52,82.51,0.1111079163908275,3.197783641596963e12,212.8365380624,2.7606642214384306e7,129708.19045313787
82.53,82.52,0.1111549245915992,3.197783641596963e12,212.6211898424,2.7571667655068956e7,129675.06990016256
82.54,82.53,0.11120198041934694,3.197783641596963e12,212.405916332,2.7536716686584003e7,129641.94765433406
82.55,82.54,0.11124908395409631,3.197783641596963e12,212.19071757,2.7501789310095146e7,129608.82372727981
82.56,82.55,0.11129623527605714,3.197783641596963e12,211.9755935956,2.7466885526730843e7,129575.69813028218
82.57,82.56,0.11134343446562421,3.197783641596963e12,211.7605444467,2.7432005337645408e7,129542.57087561477
82.58,82.57,0.11139068160337814,3.197783641596963e12,211.5455701626,2.7397148743942805e7,129509.44197453329
82.59,82.58,0.11143797677008598,3.197783641596963e12,211.3306707822,2.736231574673696e7,129476.31143865956
82.6,82.59,0.11148532004670124,3.197783641596963e12,211.1158463439,2.7327506347096153e7,129443.17927978103
82.61,82.6,0.11153271151436503,3.197783641596963e12,210.9010968862,2.729272054610157e7,129410.04550976059
82.62,82.61,0.11158015125440654,3.197783641596963e12,210.6864224474,2.7257958344796978e7,129376.91014048237
82.63,82.62,0.1116276393483428,3.197783641596963e12,210.4718230671,2.7223219744227737e7,129343.7731831152
82.64,82.63,0.11167517587788098,3.197783641596963e12,210.2572987837,2.7188504745402247e7,129310.63464946412
82.65,82.64,0.11172276092491654,3.197783641596963e12,210.0428496354,2.7153814733607396e7,129277.50114199067
82.66,82.65,0.11177039457153606,3.197783641596963e12,209.828475661,2.7119146941205192e7,129244.35949779776
82.67,82.66,0.11181807690001651,3.197783641596963e12,209.614176899,2.7084502753523506e7,129211.21631278709
82.68,82.67,0.1118658079928265,3.197783641596963e12,209.3999533877,2.704988217150575e7,129178.07159881937
82.69,82.68,0.1119135879326259,3.197783641596963e12,209.1858051663,2.701528519609646e7,129144.92536728129
82.7,82.69,0.11196141680226761,3.197783641596963e12,208.9717322727,2.6980711828224495e7,129111.77763036253
82.71,82.7,0.1120092946847972,3.197783641596963e12,208.7577347458,2.6946162068808127e7,129078.62839966104
82.72,82.71,0.1120572216634546,3.197783641596963e12,208.5438126244,2.691163591871851e7,129045.47768668635
82.73,82.72,0.1121051978216725,3.197783641596963e12,208.3299659464,2.6877133378846224e7,129012.32550367375
82.74,82.73,0.11215322324308001,3.197783641596963e12,208.1161947505,2.6842654450039785e7,128979.17186223825
