LE,HLE,param1,param2,dLE,WTP,WTP_1y
71.03,71.02,0.7119876370910543,0.00045219019391835484,-14.4670556992,-2.13798812595406e6,147783.2235119055
71.04,71.03,0.7112967480251932,0.00045193598964571324,-14.4811563102,-2.1396353470404665e6,147753.07311152943
71.05,71.04,0.7106065316906983,0.00045168193740753555,-14.4952705779,-2.1412837631641524e6,147722.9246364555
71.06,71.05,0.7099169874283904,0.0004514280371069193,-14.5093985154,-2.142933375203457e6,147692.77809338467
71.07,71.06,0.7092281145797427,0.00045117428864170086,-14.523540136,-2.1445841840340095e6,147662.6334868697
71.08,71.07,0.7085399124868823,0.0004509206919152544,-14.5376954529,-2.146236190538901e6,147632.4908230738
71.09,71.08,0.707852380492589,0.00045066724682468957,-14.5518644794,-2.147889395597125e6,147602.35010693874
71.1,71.09,0.7071655179402928,0.00045041395327113145,-14.5660472286,-2.1495438000920704e6,147572.2113458142
71.11,71.1,0.706479324174071,0.0004501608111563271,-14.580243714,-2.151199404902746e6,147542.07454277028
71.12,71.11,0.705793798538658,0.0004499078203802244,-14.5944539488,-2.152856210911885e6,147511.93970425316
71.13,71.12,0.7051089403794305,0.0004496549808439824,-14.6086779462,-2.1545142190032797e6,147481.80683685414
71.14,71.13,0.7044247490424183,0.0004494022924476529,-14.6229157196,-2.156173430062707e6,147451.6759453557
71.15,71.14,0.7037412238742973,0.0004491497550912874,-14.6371672824,-2.15783384497236e6,147421.54703437592
71.16,71.15,0.7030583642223903,0.00044889736867742916,-14.6514326478,-2.1594954646176817e6,147391.42011084786
71.17,71.16,0.7023761694346676,0.0004486451331075147,-14.6657118292,-2.161158289884736e6,147361.29517980752
71.18,71.17,0.7016946388597461,0.0004483930482791033,-14.6800048401,-2.162822321663692e6,147331.17224564613
71.19,71.18,0.7010137718468864,0.00044814111409699676,-14.6943116936,-2.164487560836752e6,147301.05131630486
71.2,71.19,0.700333567745995,0.0004478893304625014,-14.7086324033,-2.166154008296324e6,147270.9323954775
71.21,71.2,0.6996540259076236,0.0004476376972716458,-14.7229669826,-2.167821664929143e6,147240.81548855835
71.22,71.21,0.6989751456829615,0.00044738621443385135,-14.7373154449,-2.1694905316267787e6,147210.70060134685
71.23,71.22,0.6982969264238471,0.00044713488184473994,-14.7516778035,-2.1711606092770537e6,147180.58774046175
71.24,71.23,0.6976193674827621,0.00044688369940547085,-14.7660540721,-2.1728318987727063e6,147150.47690893972
71.25,71.24,0.6969424682128238,0.0004466326670199718,-14.7804442639,-2.174504401005958e6,147120.36811484778
71.26,71.25,0.6962662279677889,0.0004463817845913399,-14.7948483925,-2.1761781168669495e6,147090.2613622
71.27,71.26,0.6955906461020648,0.0004461310520168581,-14.8092664713,-2.1778530472538476e6,147060.15665762202
71.28,71.27,0.694915721970687,0.00044588046920266913,-14.8236985139,-2.1795291930547417e6,147030.0540051475
71.29,71.28,0.6942414549293363,0.000445630036048271,-14.8381445338,-2.181206555168941e6,146999.95341063992
