LE,HLE,param1,param2,dHLE,WTP,WTP_1y
71.0,69.0,0.07624861731878946,0.1155107905930228,443.0287119089,6.117592468026477e6,13808.568843466826
72.0,69.0,0.07830654333222753,0.09739591658094279,401.4489748162,1.103860078403204e7,27496.896184841346
73.0,69.0,0.08048552223061191,0.08595362092084455,364.5188560699,1.646827815924035e7,45178.12421775624
74.0,69.0,0.0827990876122038,0.07770426315583341,331.1236502481,2.2004667524169922e7,66454.53294466449
75.0,69.0,0.08526285741013512,0.07127332780158813,300.6182151908,2.762301467165002e7,91887.36169602333
76.0,69.0,0.08789496102193256,0.06598707550114183,272.5840429855,3.303700771458774e7,121199.34590721854
77.0,69.0,0.09071657006709284,0.06146626566036446,246.727842457,3.806800125324282e7,154291.4689892664
78.0,69.0,0.09375259183397384,0.057473842580788574,222.8327159903,4.253513025075742e7,190883.68627436642
79.0,69.0,0.09703253712518256,0.05384680392655099,200.7291497366,4.623699975128358e7,230345.21798132712
80.0,69.0,0.1005916938307315,0.050460239587927475,180.2898086539,4.892557483577568e7,271371.82739872707
81.0,69.0,0.10447261531724421,0.04720318881824117,161.4069253293,5.025890301759141e7,311380.0905076033
82.0,69.0,0.1087271959127716,0.04395279726025862,144.006266183,4.969627732868339e7,345098.02000928525
83.0,69.0,0.11341945425679179,0.040521527769513725,128.0575277348,4.619899016855013e7,360767.46900990984
84.0,69.0,0.11862945979398211,0.03643713242137641,113.6718996798,3.688931601156201e7,324524.4965156275
85.0,69.0,0.12445888695447657,NaN,NaN,NaN,NaN
86.0,69.0,0.13103918969947984,NaN,NaN,NaN,NaN
87.0,69.0,0.13854386673845348,NaN,NaN,NaN,NaN
88.0,69.0,0.1472075599687115,NaN,NaN,NaN,NaN
89.0,69.0,0.1573569692421161,NaN,NaN,NaN,NaN
90.0,69.0,0.16946330227078477,NaN,NaN,NaN,NaN
91.0,69.0,0.18423656007378927,NaN,NaN,NaN,NaN
92.0,69.0,0.20280785045800861,NaN,NaN,NaN,NaN
93.0,69.0,0.22711669080954483,NaN,NaN,NaN,NaN
94.0,69.0,0.2608468358242668,NaN,NaN,NaN,NaN
95.0,69.0,0.31215219477818706,NaN,NaN,NaN,NaN
96.0,69.0,0.4044407960196516,NaN,NaN,NaN,NaN
97.0,69.0,0.6587202118974661,NaN,NaN,NaN,NaN
70.0,70.0,0.0742999538610056,NaN,NaN,NaN,NaN
71.0,70.0,0.07624861731878946,0.15855836349817293,465.6497377039,2.0085297832508432e6,4313.391849321815
